sample,read_id,upstream_flank_len,core_repeat_len,downstream_flank_len,total_length,cag_units,caa_units,cga_units,event_count,total_event_bp,frameshift_events,in_frame_events,avg_event_length,oof_patterns
H1,m84137_260214_004236_s1/162267981/ccs,65,134,86,285,9,0,0,5,11,5,0,2.2,2
H1,m84137_260214_004236_s1/95225004/ccs,53,132,86,271,23,1,0,5,21,3,2,4.2,1
H1,m84137_260214_004236_s1/69670462/ccs,50,134,88,272,6,0,0,4,5,4,0,1.25,1
H1,m84137_260214_004236_s1/93131077/ccs,49,514,81,644,27,4,0,31,112,22,9,3.6129032258064515,7
H1,m84137_260214_004236_s1/83038465/ccs,50,141,86,277,22,1,0,6,21,5,1,3.5,1
H1,m84137_260214_004236_s1/38208760/ccs,50,126,87,263,9,0,1,4,18,3,1,4.5,1
H1,m84137_260214_004236_s1/86840975/ccs,52,134,86,272,21,1,0,4,11,3,1,2.75,2
H1,m84137_260214_004236_s1/18155229/ccs,57,114,106,277,11,0,0,3,6,3,0,2.0,3
H1,m84137_260214_004236_s1/103746222/ccs,50,135,87,272,32,0,0,7,18,5,2,2.5714285714285716,1
H1,m84137_260214_004236_s1/234357145/ccs,56,117,88,261,22,0,0,5,12,5,0,2.4,4
H1,m84137_260214_004236_s1/247600646/ccs,55,127,87,269,11,0,0,9,19,7,2,2.111111111111111,2
H1,m84137_260214_004236_s1/198447940/ccs,50,131,86,267,34,0,0,1,2,1,0,2.0,0
H1,m84137_260214_004236_s1/28576275/ccs,50,150,86,286,50,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/256117830/ccs,50,138,90,278,26,2,0,7,21,7,0,3.0,4
H1,m84137_260214_004236_s1/109905298/ccs,50,138,90,278,17,0,0,8,18,8,0,2.25,5
H1,m84137_260214_004236_s1/227807918/ccs,50,134,86,270,10,0,0,8,20,5,3,2.5,2
H1,m84137_260214_004236_s1/105582282/ccs,53,226,23,302,7,1,0,9,85,7,2,9.444444444444445,3
H1,m84137_260214_004236_s1/259458396/ccs,50,220,16,286,18,0,0,7,85,5,2,12.142857142857142,2
H1,m84137_260214_004236_s1/107286205/ccs,55,145,89,289,31,1,0,6,16,5,1,2.6666666666666665,3
H1,m84137_260214_004236_s1/111348476/ccs,50,134,87,271,17,1,0,4,11,4,0,2.75,3
H1,m84137_260214_004236_s1/124257026/ccs,50,135,50,235,45,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/182256607/ccs,50,121,85,256,11,0,0,1,1,1,0,1.0,0
H1,m84137_260214_004236_s1/191627508/ccs,50,127,82,259,3,0,0,1,4,1,0,4.0,0
H1,m84137_260214_004236_s1/96207896/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/31655549/ccs,50,135,86,271,45,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/166921949/ccs,50,135,86,271,45,0,0,0,0,0,0,0.0,0
