Sample,Read ID,Core Length,Total CAG,CAG In-Frame,CAG Out-Frame,% In-Frame,% Out-Frame,Events,Frameshift Events,Final Frame,Downstream In-Frame,Downstream Offset
H1,m84137_260214_004236_s1/162267981/ccs,134,37,8,29,21.62162162162162,78.37837837837837,3,3,2,False,2
H1,m84137_260214_004236_s1/95225004/ccs,132,35,22,13,62.857142857142854,37.142857142857146,2,2,0,True,0
H1,m84137_260214_004236_s1/69670462/ccs,134,41,5,36,12.195121951219512,87.8048780487805,3,3,2,False,2
H1,m84137_260214_004236_s1/93131077/ccs,514,118,24,94,20.33898305084746,79.66101694915254,24,22,1,False,1
H1,m84137_260214_004236_s1/83038465/ccs,141,38,21,17,55.26315789473685,44.73684210526316,5,4,0,True,0
H1,m84137_260214_004236_s1/38208760/ccs,126,33,8,25,24.242424242424242,75.75757575757575,3,3,0,True,0
H1,m84137_260214_004236_s1/86840975/ccs,134,25,19,6,76.0,24.0,2,2,0,True,0
H1,m84137_260214_004236_s1/18155229/ccs,114,30,9,21,30.0,70.0,0,0,0,True,0
H1,m84137_260214_004236_s1/103746222/ccs,135,37,31,6,83.78378378378379,16.216216216216218,6,4,0,True,0
H1,m84137_260214_004236_s1/234357145/ccs,117,27,19,8,70.37037037037037,29.629629629629626,1,1,0,True,0
H1,m84137_260214_004236_s1/247600646/ccs,127,32,10,22,31.25,68.75,5,5,1,False,1
H1,m84137_260214_004236_s1/198447940/ccs,131,43,34,9,79.06976744186046,20.930232558139537,1,1,2,False,2
H1,m84137_260214_004236_s1/28576275/ccs,150,50,50,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/256117830/ccs,138,31,22,9,70.96774193548387,29.03225806451613,4,4,0,True,0
H1,m84137_260214_004236_s1/109905298/ccs,138,30,13,17,43.333333333333336,56.666666666666664,3,3,0,True,0
H1,m84137_260214_004236_s1/227807918/ccs,134,31,4,27,12.903225806451612,87.09677419354838,7,5,2,False,2
H1,m84137_260214_004236_s1/105582282/ccs,226,45,5,40,11.11111111111111,88.88888888888889,9,7,1,False,1
H1,m84137_260214_004236_s1/259458396/ccs,220,43,17,26,39.53488372093023,60.46511627906976,11,9,1,False,1
H1,m84137_260214_004236_s1/107286205/ccs,145,37,29,8,78.37837837837837,21.62162162162162,3,2,1,False,1
H1,m84137_260214_004236_s1/111348476/ccs,134,35,16,19,45.714285714285715,54.285714285714285,1,1,2,False,2
H1,m84137_260214_004236_s1/124257026/ccs,135,45,45,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/182256607/ccs,121,40,11,29,27.500000000000004,72.5,1,1,1,False,1
H1,m84137_260214_004236_s1/191627508/ccs,127,41,3,38,7.317073170731707,92.6829268292683,1,1,1,False,1
H1,m84137_260214_004236_s1/96207896/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/31655549/ccs,135,45,45,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/166921949/ccs,135,45,45,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/123537945/ccs,136,45,24,21,53.333333333333336,46.666666666666664,1,1,1,False,1
H1,m84137_260214_004236_s1/64624544/ccs,165,55,55,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/236978756/ccs,143,39,5,34,12.82051282051282,87.17948717948718,11,11,2,False,2
H1,m84137_260214_004236_s1/85071146/ccs,128,32,12,20,37.5,62.5,5,5,2,False,2
H1,m84137_260214_004236_s1/166596147/ccs,137,38,13,25,34.21052631578947,65.78947368421053,5,5,2,False,2
H1,m84137_260214_004236_s1/118293766/ccs,121,31,5,26,16.129032258064516,83.87096774193549,4,3,1,False,1
H1,m84137_260214_004236_s1/40567950/ccs,222,33,23,10,69.6969696969697,30.303030303030305,5,2,0,True,0
H1,m84137_260214_004236_s1/28250082/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/177476285/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/59183988/ccs,135,45,45,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/263591227/ccs,138,39,35,4,89.74358974358975,10.256410256410255,1,1,0,True,0
H1,m84137_260214_004236_s1/165613471/ccs,145,45,10,35,22.22222222222222,77.77777777777779,0,0,1,False,1
H1,m84137_260214_004236_s1/18547753/ccs,141,30,17,13,56.666666666666664,43.333333333333336,8,7,0,True,0
H1,m84137_260214_004236_s1/128320429/ccs,133,30,23,7,76.66666666666667,23.333333333333332,4,3,1,False,1
H1,m84137_260214_004236_s1/66585042/ccs,140,31,18,13,58.06451612903226,41.935483870967744,5,4,0,True,0
H1,m84137_260214_004236_s1/51119989/ccs,139,33,3,30,9.090909090909092,90.9090909090909,5,5,1,False,1
H1,m84137_260214_004236_s1/45875392/ccs,136,31,18,13,58.06451612903226,41.935483870967744,4,4,2,False,2
H1,m84137_260214_004236_s1/228988176/ccs,133,21,12,9,57.14285714285714,42.857142857142854,4,4,1,False,1
H1,m84137_260214_004236_s1/26940418/ccs,128,27,8,19,29.629629629629626,70.37037037037037,3,2,2,False,2
H1,m84137_260214_004236_s1/163188232/ccs,150,28,17,11,60.71428571428571,39.285714285714285,3,3,0,True,0
H1,m84137_260214_004236_s1/174266215/ccs,138,27,12,15,44.44444444444444,55.55555555555556,1,1,0,True,0
H1,m84137_260214_004236_s1/10358159/ccs,130,31,19,12,61.29032258064516,38.70967741935484,4,4,1,False,1
H1,m84137_260214_004236_s1/30543021/ccs,136,40,26,14,65.0,35.0,3,3,1,False,1
H1,m84137_260214_004236_s1/220793943/ccs,131,11,4,7,36.36363636363637,63.63636363636363,1,1,2,False,2
H1,m84137_260214_004236_s1/209785784/ccs,199,42,10,32,23.809523809523807,76.19047619047619,8,6,1,False,1
H1,m84137_260214_004236_s1/47912489/ccs,157,45,21,24,46.666666666666664,53.333333333333336,4,4,1,False,1
H1,m84137_260214_004236_s1/62850644/ccs,121,36,12,24,33.33333333333333,66.66666666666666,2,2,1,False,1
H1,m84137_260214_004236_s1/186454614/ccs,111,37,37,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/137693253/ccs,111,37,37,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/52104799/ccs,120,40,40,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/175965561/ccs,119,39,13,26,33.33333333333333,66.66666666666666,1,1,2,False,2
H1,m84137_260214_004236_s1/146014906/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/155977499/ccs,120,40,40,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/184288848/ccs,122,38,21,17,55.26315789473685,44.73684210526316,0,0,2,False,2
H1,m84137_260214_004236_s1/136643493/ccs,123,41,41,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/263918396/ccs,122,37,5,32,13.513513513513514,86.48648648648648,1,1,2,False,2
H1,m84137_260214_004236_s1/175309057/ccs,123,41,41,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/182718345/ccs,125,33,5,28,15.151515151515152,84.84848484848484,1,1,2,False,2
H1,m84137_260214_004236_s1/91557831/ccs,125,39,27,12,69.23076923076923,30.76923076923077,0,0,2,False,2
H1,m84137_260214_004236_s1/180553028/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/254348396/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/112593208/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/197984369/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/251532441/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/30474472/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/36768335/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/253035345/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/254411387/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/128324941/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/82971476/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/200740447/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/69731813/ccs,126,42,42,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/250350614/ccs,123,41,41,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/117704475/ccs,128,39,27,12,69.23076923076923,30.76923076923077,3,3,2,False,2
H1,m84137_260214_004236_s1/24515463/ccs,123,41,41,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/35457686/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/163254329/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/98309898/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/32835890/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/78973501/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/63636349/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/48302450/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/189729667/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/105188080/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/154665122/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/225510124/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/80680288/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/163123464/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/216599389/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/224923129/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/205853150/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/252251904/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/234229998/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/232783975/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/147003199/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/262736952/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/9702322/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/169739002/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/59507579/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/154801305/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/144182633/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/186256886/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/87165700/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/88869636/ccs,137,37,20,17,54.054054054054056,45.94594594594595,0,0,2,False,2
H1,m84137_260214_004236_s1/248189588/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/190710677/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/230951802/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/156243753/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/93914567/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/207946704/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/95292667/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/31197751/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/158402119/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/171968358/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/232786481/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/108728536/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/133895988/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/160633913/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/125703149/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/83564162/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/109903953/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/131400173/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/114492855/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/9112820/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/155193049/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/224663430/ccs,129,43,43,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/80153931/ccs,130,43,31,12,72.09302325581395,27.906976744186046,1,1,1,False,1
H1,m84137_260214_004236_s1/160303238/ccs,131,43,41,2,95.34883720930233,4.651162790697675,1,1,2,False,2
H1,m84137_260214_004236_s1/132252623/ccs,131,37,9,28,24.324324324324326,75.67567567567568,2,2,0,True,0
H1,m84137_260214_004236_s1/176032352/ccs,131,43,9,34,20.930232558139537,79.06976744186046,1,1,2,False,2
H1,m84137_260214_004236_s1/114102493/ccs,131,41,21,20,51.21951219512195,48.78048780487805,0,0,2,False,2
H1,m84137_260214_004236_s1/239666375/ccs,131,41,25,16,60.97560975609756,39.02439024390244,0,0,2,False,2
H1,m84137_260214_004236_s1/174197092/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/203359391/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/184419220/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/161547740/ccs,132,43,14,29,32.55813953488372,67.44186046511628,2,2,0,True,0
H1,m84137_260214_004236_s1/130483882/ccs,139,41,29,12,70.73170731707317,29.268292682926827,1,0,1,False,1
H1,m84137_260214_004236_s1/7342248/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/18285339/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/4522630/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/31064881/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/15008411/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/52168401/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/217186472/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/256247212/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/7475840/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/25694180/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/130815131/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/172036631/ccs,132,38,31,7,81.57894736842105,18.421052631578945,0,0,0,True,0
H1,m84137_260214_004236_s1/11010869/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
H1,m84137_260214_004236_s1/106365791/ccs,132,44,44,0,100.0,0.0,0,0,0,True,0
