sample,read_id,allele,CAG_count,CAA_count,Repeat_region_length,Repeat_matches_bp,Repeat_insertions_bp,Repeat_complexity_score,Repeat_class,Read_length,Mapping_quality
Control_11,m84137_260214_004236_s1/57610134/ccs,0,7,3,199,189,10,0.05025125628140704,Interrupted,199,60
Control_11,m84137_260214_004236_s1/62919884/ccs,0,7,4,207,189,18,0.08695652173913043,Interrupted,207,60
Control_11,m84137_260214_004236_s1/149160565/ccs,0,7,2,197,189,8,0.04060913705583756,Pure,197,60
Control_11,m84137_260214_004236_s1/238555691/ccs,1,9,2,206,193,13,0.06310679611650485,Interrupted,206,60
Control_11,m84137_260214_004236_s1/54986644/ccs,0,7,3,201,190,11,0.05472636815920398,Interrupted,201,60
Control_11,m84137_260214_004236_s1/162665752/ccs,1,8,2,204,193,11,0.05392156862745098,Interrupted,204,60
Control_11,m84137_260214_004236_s1/118428891/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/39126982/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/235929893/ccs,1,9,2,208,193,15,0.07211538461538461,Interrupted,208,60
Control_11,m84137_260214_004236_s1/125042930/ccs,0,7,4,202,188,14,0.06930693069306931,Interrupted,202,60
Control_11,m84137_260214_004236_s1/155653352/ccs,0,8,2,197,190,7,0.03553299492385787,Pure,197,60
Control_11,m84137_260214_004236_s1/246481437/ccs,0,8,2,198,190,8,0.04040404040404041,Pure,198,60
Control_11,m84137_260214_004236_s1/170001532/ccs,0,8,2,198,190,8,0.04040404040404041,Pure,198,60
Control_11,m84137_260214_004236_s1/26809126/ccs,0,8,2,198,190,8,0.04040404040404041,Pure,198,60
Control_11,m84137_260214_004236_s1/238685415/ccs,0,8,2,199,190,9,0.04522613065326633,Pure,199,60
Control_11,m84137_260214_004236_s1/74058690/ccs,0,7,2,199,190,9,0.04522613065326633,Pure,199,60
Control_11,m84137_260214_004236_s1/49349143/ccs,0,8,2,199,193,6,0.03015075376884422,Pure,199,60
Control_11,m84137_260214_004236_s1/47910945/ccs,1,8,2,199,193,6,0.03015075376884422,Pure,199,60
Control_11,m84137_260214_004236_s1/55710170/ccs,0,8,2,199,190,9,0.04522613065326633,Pure,199,60
Control_11,m84137_260214_004236_s1/68487019/ccs,0,8,2,200,191,9,0.045,Pure,200,60
Control_11,m84137_260214_004236_s1/162203962/ccs,0,8,2,200,191,9,0.045,Pure,200,60
Control_11,m84137_260214_004236_s1/257890097/ccs,0,7,2,200,191,9,0.045,Pure,200,60
Control_11,m84137_260214_004236_s1/61999000/ccs,0,8,2,200,191,9,0.045,Pure,200,60
Control_11,m84137_260214_004236_s1/69012014/ccs,0,7,3,200,191,9,0.045,Pure,200,60
Control_11,m84137_260214_004236_s1/224529511/ccs,0,8,2,200,191,9,0.045,Pure,200,60
Control_11,m84137_260214_004236_s1/96011374/ccs,0,8,2,200,191,9,0.045,Pure,200,60
Control_11,m84137_260214_004236_s1/59246426/ccs,1,8,2,201,192,9,0.04477611940298507,Pure,201,60
Control_11,m84137_260214_004236_s1/105841119/ccs,1,8,2,201,192,9,0.04477611940298507,Pure,201,60
Control_11,m84137_260214_004236_s1/214369647/ccs,0,7,2,201,189,12,0.05970149253731343,Interrupted,201,60
Control_11,m84137_260214_004236_s1/236591016/ccs,1,8,1,201,193,8,0.03980099502487562,Pure,201,60
Control_11,m84137_260214_004236_s1/111151747/ccs,1,8,2,201,192,9,0.04477611940298507,Pure,201,60
Control_11,m84137_260214_004236_s1/127468200/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/185729781/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/258539672/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/256576210/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/64947262/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/65340584/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/163579737/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/190646686/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/6687608/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/18942242/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/13174208/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/9437348/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/103352662/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/47584289/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/251593884/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/30413065/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/146806579/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
