Sample,Allele,Read ID,Core Length,Phase,OOF Flag,OOF Magnitude,Confidence
Control_11,0,m84137_260214_004236_s1/18482317/ccs,59,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/59444425/ccs,45,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/112332217/ccs,56,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/187040585/ccs,53,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/62919884/ccs,53,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/14747362/ccs,45,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/123866742/ccs,50,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/202113161/ccs,55,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/110493832/ccs,49,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/125502623/ccs,56,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/54986644/ccs,56,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/11474691/ccs,54,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/125042930/ccs,58,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/251593963/ccs,59,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/120916428/ccs,58,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/207361389/ccs,55,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/68487019/ccs,55,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/162203962/ccs,55,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/257890097/ccs,53,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/141432047/ccs,54,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/61999000/ccs,55,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/148312732/ccs,54,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/69012014/ccs,55,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/31788210/ccs,54,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/224529511/ccs,54,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/166202082/ccs,54,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/96011374/ccs,54,2,True,2,HIGH
Control_11,0,m84137_260214_004236_s1/21763606/ccs,54,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/81925903/ccs,54,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/103745542/ccs,54,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/214369647/ccs,53,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/172687452/ccs,54,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/49873102/ccs,54,0,False,0,HIGH
Control_11,0,m84137_260214_004236_s1/99159360/ccs,54,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/256576210/ccs,57,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/64947262/ccs,57,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/190646686/ccs,57,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/190908090/ccs,54,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/156440323/ccs,54,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/6687608/ccs,57,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/18942242/ccs,57,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/9437348/ccs,57,1,True,1,HIGH
Control_11,0,m84137_260214_004236_s1/21364826/ccs,54,1,True,1,HIGH
