sample,read_id,allele,CAG_count,CAA_count,CCG_count,repeat_length_bp,classification,is_clean,is_interrupted,is_fragmented,mapq
H1,m84137_260214_004236_s1/162267981/ccs,1,109,3,11,285,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/136841514/ccs,0,27,2,12,192,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/95225004/ccs,1,86,4,13,271,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/102106442/ccs,0,84,3,12,193,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/199362014/ccs,0,120,2,11,197,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/174391453/ccs,0,129,6,13,202,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/64096710/ccs,0,83,2,8,192,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/97257404/ccs,0,85,3,11,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/56890984/ccs,0,89,2,12,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/69670462/ccs,1,112,2,11,272,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/216926021/ccs,0,76,3,12,190,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/93131077/ccs,1,119,9,17,644,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/83038465/ccs,1,91,3,12,277,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/78121582/ccs,0,85,2,10,193,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/38208760/ccs,1,117,2,14,263,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/86840975/ccs,1,72,4,12,272,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/5509772/ccs,0,61,2,13,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/18155229/ccs,1,53,3,13,277,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/103746222/ccs,1,86,3,11,272,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/234357145/ccs,1,97,3,10,261,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/96736268/ccs,0,81,2,13,198,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/88211602/ccs,0,127,3,11,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/125699964/ccs,0,73,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/29166930/ccs,0,148,3,10,198,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/247600646/ccs,1,71,2,15,269,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/82643903/ccs,0,1,2,12,198,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/198447940/ccs,1,9,2,12,267,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/28576275/ccs,1,3,2,12,286,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/239730876/ccs,0,103,2,12,199,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/55837768/ccs,0,88,2,12,203,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/99222547/ccs,0,76,1,11,198,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/256117830/ccs,1,120,5,11,278,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/109905298/ccs,1,84,3,12,278,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/85529778/ccs,0,106,2,13,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/229574403/ccs,0,58,2,13,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/227807918/ccs,1,81,3,10,270,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/105582282/ccs,1,95,5,11,302,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/259458396/ccs,1,103,4,10,286,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/107286205/ccs,1,91,3,11,289,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/111348476/ccs,1,80,4,11,271,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/46334743/ccs,0,70,4,11,198,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/4984945/ccs,0,68,2,12,198,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/80544472/ccs,0,3,2,11,194,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/170525871/ccs,0,2,2,13,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/235078634/ccs,0,2,2,12,197,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/124257026/ccs,1,20,0,5,235,frameshift_indels,False,False,False,60
H1,m84137_260214_004236_s1/182256607/ccs,1,8,2,12,256,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/191627508/ccs,1,19,1,12,259,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/96207896/ccs,1,2,1,12,262,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/64624544/ccs,1,12,1,12,301,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/236978756/ccs,1,89,4,12,285,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/133891398/ccs,0,73,3,12,198,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/85071146/ccs,1,79,6,12,271,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/103748745/ccs,0,96,2,9,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/166596147/ccs,1,83,2,8,270,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/118293766/ccs,1,94,3,8,263,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/176883994/ccs,0,124,2,12,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/40567950/ccs,1,92,5,10,356,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/28250082/ccs,1,1,2,12,265,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/177476285/ccs,1,1,2,12,265,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/59183988/ccs,1,3,2,12,271,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/263591227/ccs,1,8,4,12,274,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/165613471/ccs,1,1,3,12,281,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/18547753/ccs,1,69,5,11,278,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/121899753/ccs,0,71,4,13,199,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/128320429/ccs,1,124,4,11,274,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/195695427/ccs,0,95,4,12,200,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/66585042/ccs,1,60,2,11,275,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/51119989/ccs,1,91,5,11,278,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/130942037/ccs,0,53,1,11,193,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/45875392/ccs,1,110,3,10,279,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/228988176/ccs,1,93,6,11,269,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/235540159/ccs,0,99,2,10,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/26940418/ccs,1,102,4,12,266,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/163188232/ccs,1,85,2,8,284,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/126553081/ccs,0,48,2,10,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/89656532/ccs,0,59,1,13,197,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/174266215/ccs,1,101,4,11,278,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/10358159/ccs,1,74,2,13,265,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/30543021/ccs,1,72,2,12,275,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/177996547/ccs,0,64,0,12,194,clean_CAG,True,False,False,60
H1,m84137_260214_004236_s1/154797405/ccs,0,63,3,11,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/201328142/ccs,0,85,2,11,196,CAA_interrupted,False,True,False,60
