sample,read_id,allele,CAG_count,Upstream_insertions_bp,Upstream_matches_bp,Upstream_complexity,Repeat_insertions_bp,Repeat_matches_bp,Repeat_complexity,Downstream_insertions_bp,Downstream_matches_bp,Downstream_complexity,Total_insertions_bp,Total_matches_bp,Total_complexity,Structural_pattern,Read_length
H3,m84137_260214_004236_s1/73401810/ccs,1,18,0,0,0,118,191,0.3818770226537217,0,0,0.0,118,191,0.3818770226537217,Repeat-enriched,309
H3,m84137_260214_004236_s1/23791630/ccs,1,19,0,0,0,122,191,0.38977635782747605,0,0,0.0,122,191,0.38977635782747605,Repeat-enriched,313
H3,m84137_260214_004236_s1/241568636/ccs,0,7,0,0,0,3,181,0.016304347826086956,0,0,0.0,3,181,0.016304347826086956,Repeat-enriched,184
H3,m84137_260214_004236_s1/166266081/ccs,0,7,0,0,0,1,184,0.005405405405405406,0,0,0.0,1,184,0.005405405405405406,Repeat-enriched,185
H3,m84137_260214_004236_s1/146281875/ccs,1,17,0,0,0,114,191,0.3737704918032787,0,0,0.0,114,191,0.3737704918032787,Repeat-enriched,305
H3,m84137_260214_004236_s1/247072969/ccs,0,6,0,0,0,3,184,0.016042780748663103,0,0,0.0,3,184,0.016042780748663103,Repeat-enriched,187
H3,m84137_260214_004236_s1/218040069/ccs,1,18,0,0,0,114,192,0.37254901960784315,0,0,0.0,114,192,0.37254901960784315,Repeat-enriched,306
H3,m84137_260214_004236_s1/191040490/ccs,1,16,0,0,0,113,190,0.37293729372937295,0,0,0.0,113,190,0.37293729372937295,Repeat-enriched,303
H3,m84137_260214_004236_s1/48890556/ccs,1,14,0,0,0,104,192,0.35135135135135137,0,0,0.0,104,192,0.35135135135135137,Repeat-enriched,296
H3,m84137_260214_004236_s1/91425604/ccs,0,8,0,0,0,4,184,0.02127659574468085,0,0,0.0,4,184,0.02127659574468085,Repeat-enriched,188
H3,m84137_260214_004236_s1/254415485/ccs,0,7,0,0,0,0,186,0.0,0,0,0.0,0,186,0.0,Distributed,186
H3,m84137_260214_004236_s1/99095255/ccs,1,18,0,0,0,128,193,0.3987538940809969,0,0,0.0,128,193,0.3987538940809969,Repeat-enriched,321
H3,m84137_260214_004236_s1/2097690/ccs,1,198,0,0,0,0,0,0.0,4,162,0.024096385542168676,4,162,0.024096385542168676,Flanking-enriched,3102
H3,m84137_260214_004236_s1/95686302/ccs,0,7,0,0,0,8,184,0.041666666666666664,0,0,0.0,8,184,0.041666666666666664,Repeat-enriched,192
H3,m84137_260214_004236_s1/22481974/ccs,1,18,0,0,0,128,191,0.4012539184952978,0,0,0.0,128,191,0.4012539184952978,Repeat-enriched,319
H3,m84137_260214_004236_s1/169809764/ccs,1,18,0,0,0,129,191,0.403125,0,0,0.0,129,191,0.403125,Repeat-enriched,320
H3,m84137_260214_004236_s1/82051943/ccs,1,17,0,0,0,121,192,0.3865814696485623,0,0,0.0,121,192,0.3865814696485623,Repeat-enriched,313
H3,m84137_260214_004236_s1/150342062/ccs,1,25,0,0,0,177,189,0.48360655737704916,0,0,0.0,177,189,0.48360655737704916,Repeat-enriched,366
H3,m84137_260214_004236_s1/121768635/ccs,1,20,0,0,0,114,192,0.37254901960784315,0,0,0.0,114,192,0.37254901960784315,Repeat-enriched,306
H3,m84137_260214_004236_s1/206443279/ccs,1,22,0,0,0,126,193,0.3949843260188088,0,0,0.0,126,193,0.3949843260188088,Repeat-enriched,319
H3,m84137_260214_004236_s1/237175291/ccs,1,17,0,0,0,127,191,0.39937106918238996,0,0,0.0,127,191,0.39937106918238996,Repeat-enriched,318
H3,m84137_260214_004236_s1/256443416/ccs,1,17,0,0,0,113,192,0.3704918032786885,0,0,0.0,113,192,0.3704918032786885,Repeat-enriched,305
H3,m84137_260214_004236_s1/90835560/ccs,1,19,0,0,0,136,192,0.4146341463414634,0,0,0.0,136,192,0.4146341463414634,Repeat-enriched,328
H3,m84137_260214_004236_s1/6491893/ccs,1,19,0,0,0,129,193,0.40062111801242234,0,0,0.0,129,193,0.40062111801242234,Repeat-enriched,322
H3,m84137_260214_004236_s1/3015164/ccs,1,18,0,0,0,121,192,0.3865814696485623,0,0,0.0,121,192,0.3865814696485623,Repeat-enriched,313
H3,m84137_260214_004236_s1/133431570/ccs,1,17,0,0,0,114,189,0.37623762376237624,0,0,0.0,114,189,0.37623762376237624,Repeat-enriched,303
H3,m84137_260214_004236_s1/31721716/ccs,1,18,0,0,0,125,187,0.40064102564102566,0,0,0.0,125,187,0.40064102564102566,Repeat-enriched,312
H3,m84137_260214_004236_s1/195825563/ccs,1,19,0,0,0,128,190,0.4025157232704403,0,0,0.0,128,190,0.4025157232704403,Repeat-enriched,318
H3,m84137_260214_004236_s1/5636598/ccs,1,20,0,0,0,118,191,0.3818770226537217,0,0,0.0,118,191,0.3818770226537217,Repeat-enriched,309
H3,m84137_260214_004236_s1/23397850/ccs,1,17,0,0,0,106,191,0.3569023569023569,0,0,0.0,106,191,0.3569023569023569,Repeat-enriched,297
H3,m84137_260214_004236_s1/238814623/ccs,0,7,0,0,0,0,187,0.0,0,0,0.0,0,187,0.0,Distributed,187
H3,m84137_260214_004236_s1/63705161/ccs,0,7,0,0,0,0,187,0.0,0,0,0.0,0,187,0.0,Distributed,187
H3,m84137_260214_004236_s1/92604325/ccs,1,18,0,0,0,89,194,0.31448763250883394,0,0,0.0,89,194,0.31448763250883394,Repeat-enriched,283
H3,m84137_260214_004236_s1/105713116/ccs,1,29,0,0,0,196,193,0.5038560411311054,0,0,0.0,196,193,0.5038560411311054,Repeat-enriched,389
H3,m84137_260214_004236_s1/263981381/ccs,0,7,0,0,0,2,186,0.010638297872340425,0,0,0.0,2,186,0.010638297872340425,Repeat-enriched,188
H3,m84137_260214_004236_s1/67307854/ccs,1,17,0,0,0,127,192,0.3981191222570533,0,0,0.0,127,192,0.3981191222570533,Repeat-enriched,319
H3,m84137_260214_004236_s1/63968787/ccs,0,6,0,0,0,1,183,0.005434782608695652,0,0,0.0,1,183,0.005434782608695652,Repeat-enriched,184
