Sample,Read #,Read ID,Total bp,Upstream bp,Core bp,Downstream bp,CAG,CAA,CGA,Flanking Int.
H1,1,m84137_260214_004236,4270,50,4180,40,464,0,0,463
H1,2,m84137_260214_004236,3110,50,3008,52,334,0,0,333
H1,3,m84137_260214_004236,1939,50,1846,43,204,0,0,204
H1,4,m84137_260214_004236,1281,50,1179,52,131,0,0,130
H1,5,m84137_260214_004236,1098,50,1008,40,112,0,0,111
H3,1,m84137_260214_004236,3337,50,3235,52,358,0,0,359
H3,2,m84137_260214_004236,3068,58,2958,52,274,10,0,316
H3,3,m84137_260214_004236,1784,50,1688,46,187,0,0,187
H3,4,m84137_260214_004236,1125,50,1029,46,114,0,0,114
H3,5,m84137_260214_004236,858,50,722,86,78,0,0,79
