Sample,Repeat_ID,N_reads,Avg_repeat_units
Control_11,SCA37_DAB1,5030,51.553876739562625
Control_11,OPDM_ABCD3,6324,40.99573055028463
Control_11,NIID_NOTCH2NLC,5434,47.988958410011044
Control_11,FRA2A_AFF3,6693,46.115643209323174
Control_11,SD5_HOXD13,5445,48.01359044995409
Control_11,SCA7_ATXN7,5775,49.53142857142857
Control_11,DM2_CNBP,5384,79.8991456166419
Control_11,HD_HTT,5022,67.05595380326564
Control_11,CANVAS_RFC1,4800,146.72979166666667
Control_11,CCHS_PHOX2B,3860,53.026943005181344
Control_11,SCA12_PPP2R2B,6036,44.964214711729625
Control_11,SCA1_ATXN1,5848,65.06463748290014
Control_11,SCA17_TBP,4538,70.57448215072719
Control_11,OPDM1_LRP12,6510,44.01351766513057
Control_11,FAME1_SAMD12,4179,67.51615218951902
Control_11,FTDALS1_C9orf72,6833,57.875018293575295
Control_11,FRDA_FXN,5457,56.21843503756643
Control_11,DRPLA_ATN1,5843,52.5017970220777
Control_11,SCA2_ATXN2,6266,55.043887647622086
Control_11,OPDM4_RILPL1,6305,43.01348136399683
Control_11,SCA8_ATXN8OS,5661,56.4296060766649
Control_11,SCA27B_FGF14,5680,46.022887323943664
Control_11,OPMD_PABPN1,5967,43.02983073571309
Control_11,SCA3_ATXN3,5228,57.10348125478194
Control_11,SCA31_BEAN1,4769,61.55462361081988
Control_11,SCA4_ZFHX3,6456,54.02788104089219
Control_11,HDL2_JPH3,5565,49.97646001796945
Control_11,FECD3_TCF4,5664,145.9233757062147
Control_11,SCA6_CACNA1A,3972,46.03826787512588
Control_11,OPDM2_GIPC1,5775,43.53056277056277
Control_11,DM1_DMPK,6543,42.0617453767385
Control_11,SCA36_NOP56,5374,45.013397841458875
Control_11,CJD_PRNP,4713,73.99978782092086
Control_11,EPM1_CSTB,4594,45.025685676969964
Control_11,SCA10_ATXN10,5574,57.44958736993183
Control_11,SBMA_AR,3670,70.09945504087193
Control_11,FXS_FMR1,3099,62.98838334946757
Control_11,FRAXE_AFF2,2887,86.00242466227918
H1,SCA37_DAB1,5396,53.96367679762787
H1,OPDM_ABCD3,6394,40.996090084454174
H1,NIID_NOTCH2NLC,5347,50.618290630259956
H1,FRA2A_AFF3,6589,42.01350736075277
H1,SD5_HOXD13,5663,48.0061804697157
H1,SCA7_ATXN7,5699,47.52430250921214
H1,DM2_CNBP,4949,78.92725803192565
H1,HD_HTT,4567,80.23538427851982
H1,CANVAS_RFC1,2532,138.24842022116903
H1,CCHS_PHOX2B,3891,53.086096119249554
H1,SCA12_PPP2R2B,6313,45.5152859179471
H1,SCA1_ATXN1,5812,64.51376462491397
H1,SCA17_TBP,4818,69.0815691158157
H1,OPDM1_LRP12,6627,44.99336049494492
H1,FAME1_SAMD12,4166,68.52472395583294
H1,FTDALS1_C9orf72,7003,51.96929887191204
H1,FRDA_FXN,5392,51.9213649851632
H1,DRPLA_ATN1,5531,47.5252214789369
H1,SCA2_ATXN2,5314,55.0380127963869
H1,OPDM4_RILPL1,5308,43.00791258477769
H1,SCA8_ATXN8OS,5890,57.050084889643465
H1,SCA27B_FGF14,5155,135.815712900097
H1,OPMD_PABPN1,5845,43.032335329341315
H1,SCA3_ATXN3,4949,54.531016366942815
H1,SCA31_BEAN1,4265,64.0126611957796
H1,SCA4_ZFHX3,6709,54.03681621702191
H1,HDL2_JPH3,5080,47.51240157480315
H1,FECD3_TCF4,5705,45.08273444347064
H1,SCA6_CACNA1A,3538,44.53448275862069
